Turno,Sol,Hora,Cenário,Score Saúde (%),Baterias (%),Evento,Diagnóstico,Ações Recomendadas
107,18,00:00:00,2,52,46.5,tempestade_areia,"{'energia': 'alerta', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'normal'}",-> Ajuste de Carga: Monitorar baterias de perto.
108,18,04:00:00,2,51,44.5,tempestade_areia,"{'energia': 'alerta', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'normal'}",-> Ajuste de Carga: Monitorar baterias de perto.
109,19,08:00:00,2,51,42.5,tempestade_areia,"{'energia': 'alerta', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'normal'}",-> Ajuste de Carga: Monitorar baterias de perto.
110,19,12:00:00,2,50,40.5,tempestade_areia,"{'energia': 'alerta', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'normal'}",-> Ajuste de Carga: Monitorar baterias de perto.
111,19,16:00:00,2,49,38.5,tempestade_areia,"{'energia': 'alerta', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'normal'}",-> Ajuste de Carga: Monitorar baterias de perto.
112,19,20:00:00,2,48,37.0,tempestade_areia,"{'energia': 'alerta', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'normal'}",-> Ajuste de Carga: Monitorar baterias de perto.
113,19,00:00:00,2,48,36.0,tempestade_areia,"{'energia': 'alerta', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'normal'}",-> Ajuste de Carga: Monitorar baterias de perto.
114,19,04:00:00,2,48,35.0,tempestade_areia,"{'energia': 'alerta', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'normal'}",-> Ajuste de Carga: Monitorar baterias de perto.
115,20,08:00:00,2,47,34.5,tempestade_areia,"{'energia': 'alerta', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'normal'}",-> Ajuste de Carga: Monitorar baterias de perto.
116,20,12:00:00,2,47,34.5,tempestade_areia,"{'energia': 'alerta', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'normal'}",-> Ajuste de Carga: Monitorar baterias de perto.
117,20,16:00:00,2,47,34.0,tempestade_areia,"{'energia': 'alerta', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'normal'}",-> Ajuste de Carga: Monitorar baterias de perto.
118,20,20:00:00,2,47,33.0,tempestade_areia,"{'energia': 'alerta', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'normal'}",-> Ajuste de Carga: Monitorar baterias de perto.
119,20,00:00:00,2,46,31.5,tempestade_areia,"{'energia': 'alerta', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'normal'}",-> Ajuste de Carga: Monitorar baterias de perto.
120,20,04:00:00,2,39,29.5,tempestade_areia,"{'energia': 'alerta', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Ajuste de Carga: Monitorar baterias de perto. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
121,21,08:00:00,2,39,28.0,tempestade_areia,"{'energia': 'alerta', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Ajuste de Carga: Monitorar baterias de perto. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
122,21,12:00:00,2,38,27.0,tempestade_areia,"{'energia': 'alerta', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Ajuste de Carga: Monitorar baterias de perto. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
123,21,16:00:00,2,38,26.0,tempestade_areia,"{'energia': 'alerta', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Ajuste de Carga: Monitorar baterias de perto. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
124,21,20:00:00,2,38,25.0,tempestade_areia,"{'energia': 'alerta', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Ajuste de Carga: Monitorar baterias de perto. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
125,21,00:00:00,2,37,24.5,tempestade_areia,"{'energia': 'alerta', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Ajuste de Carga: Monitorar baterias de perto. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
126,21,04:00:00,2,37,24.0,tempestade_areia,"{'energia': 'alerta', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Ajuste de Carga: Monitorar baterias de perto. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
127,22,08:00:00,2,37,24.0,tempestade_areia,"{'energia': 'alerta', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Ajuste de Carga: Monitorar baterias de perto. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
128,22,12:00:00,2,37,24.5,tempestade_areia,"{'energia': 'alerta', 'comunicacao': 'alerta', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Ajuste de Carga: Monitorar baterias de perto. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
129,22,16:00:00,2,37,24.5,tempestade_areia,"{'energia': 'alerta', 'comunicacao': 'alerta', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Ajuste de Carga: Monitorar baterias de perto. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
130,22,20:00:00,2,37,24.0,tempestade_areia,"{'energia': 'alerta', 'comunicacao': 'alerta', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Ajuste de Carga: Monitorar baterias de perto. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
131,22,00:00:00,2,37,23.0,tempestade_areia,"{'energia': 'alerta', 'comunicacao': 'alerta', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Ajuste de Carga: Monitorar baterias de perto. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
132,22,04:00:00,2,36,21.5,tempestade_areia,"{'energia': 'alerta', 'comunicacao': 'alerta', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Ajuste de Carga: Monitorar baterias de perto. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
133,23,08:00:00,2,36,20.0,tempestade_areia,"{'energia': 'alerta', 'comunicacao': 'alerta', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Ajuste de Carga: Monitorar baterias de perto. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
134,23,12:00:00,2,35,19.0,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'alerta', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
135,23,16:00:00,2,35,18.0,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'alerta', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
136,23,20:00:00,2,34,17.0,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'alerta', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
137,23,00:00:00,2,34,16.5,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'alerta', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
138,23,04:00:00,2,34,16.0,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'alerta', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
139,24,08:00:00,2,34,16.0,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'alerta', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
140,24,12:00:00,2,34,16.5,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'alerta', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
141,24,16:00:00,2,34,16.5,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'alerta', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
142,24,20:00:00,2,34,16.0,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'alerta', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
143,24,00:00:00,2,34,15.0,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'alerta', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
144,24,04:00:00,2,33,13.5,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'alerta', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
145,25,08:00:00,2,32,12.0,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'alerta', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
146,25,12:00:00,2,32,11.0,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'alerta', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
147,25,16:00:00,2,32,10.5,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'alerta', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
148,25,20:00:00,2,32,10.0,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'alerta', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
149,25,00:00:00,2,32,10.0,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'alerta', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
150,25,04:00:00,2,32,10.0,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'alerta', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
151,26,08:00:00,2,32,10.5,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'alerta', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
152,26,12:00:00,2,32,11.0,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'alerta', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
153,26,16:00:00,2,32,11.0,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'alerta', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
154,26,20:00:00,2,32,10.5,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'alerta', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
155,26,00:00:00,2,32,10.0,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'alerta', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
156,26,04:00:00,2,32,10.0,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'alerta', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
157,27,08:00:00,2,32,10.0,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'alerta', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação.
158,27,12:00:00,2,32,10.0,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'crítico', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação. | -> Falha de Link: Reiniciar módulo de satélite.
159,27,16:00:00,2,32,10.0,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'crítico', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação. | -> Falha de Link: Reiniciar módulo de satélite.
160,27,20:00:00,2,32,10.0,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'crítico', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação. | -> Falha de Link: Reiniciar módulo de satélite.
161,27,00:00:00,2,32,10.0,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'crítico', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação. | -> Falha de Link: Reiniciar módulo de satélite.
162,27,04:00:00,2,32,10.0,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'crítico', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação. | -> Falha de Link: Reiniciar módulo de satélite.
163,28,08:00:00,2,32,10.0,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'crítico', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação. | -> Falha de Link: Reiniciar módulo de satélite.
164,28,12:00:00,2,32,10.0,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'crítico', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação. | -> Falha de Link: Reiniciar módulo de satélite.
165,28,16:00:00,2,32,10.0,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'crítico', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação. | -> Falha de Link: Reiniciar módulo de satélite.
166,28,20:00:00,2,32,10.0,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'crítico', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação. | -> Falha de Link: Reiniciar módulo de satélite.
167,28,00:00:00,2,32,10.0,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'crítico', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação. | -> Falha de Link: Reiniciar módulo de satélite.
168,28,04:00:00,2,32,10.0,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'crítico', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação. | -> Falha de Link: Reiniciar módulo de satélite.
169,29,08:00:00,2,32,10.0,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'crítico', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação. | -> Falha de Link: Reiniciar módulo de satélite.
170,29,12:00:00,2,32,10.0,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'crítico', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação. | -> Falha de Link: Reiniciar módulo de satélite.
171,29,16:00:00,2,32,10.0,tempestade_areia,"{'energia': 'crítico', 'comunicacao': 'crítico', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'crítico'}",[!] PROTOCOLO OMEGA: Risco de perda da colônia. Redirecionar energia para Suporte à Vida. | -> Protocolo Economia: Desligar Laboratório e hibernar aquecimento secundário. | -> Emergência Médica: Sistemas inoperantes. Realizar checagem manual da tripulação. | -> Falha de Link: Reiniciar módulo de satélite.
